ProdNbr_c,Commodity_c,FunctionDesignation_c,ProdName_c,ProdNetWeight_n,ProdNetWeightNbr_n,ManId_c,ManDesignation_c,MC_n,ManStatus_c,ROHSStatus_c,SolderingProcess_c,MaxSolderingTemp_n,ASGId_n,LeadTime_n,LeadTimewithForecast_n,SupplierManufacturingRisk_n,SupplierAggregatedRisk_n,CommercialAggregatedRisk_n,TechnicalAggregatedRisk_n,RecoveryTimeweeks_n,Rampuptimetofullproductionfromfirstdeliveryweeks_n,MRPVol_n,AvgPriceLatestYearUSD_n,Volume_n,target_c
25,6,89,5,1322269.0,100000.0,32,87,1,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,1056.0,0.6009,3727.0,3
25,6,89,5,1322269.0,100000.0,32,238,1,1,1,1,260.0,18167.0,50.0,10.0,3.0,2.0,2.0,1.0,4.0,2.0,1056.0,0.6009,3727.0,3
26,6,91,5,14.0,1.0,52,568,1,1,1,2,260.0,96.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,0,3
26,6,91,5,14.0,1.0,52,570,1,1,1,2,260.0,96.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,0,3
26,6,91,5,14.0,1.0,52,567,6,1,0,0,0,96.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,0,3
26,6,91,5,14.0,1.0,52,569,6,1,0,0,0,96.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,0,3
26,6,91,5,14.0,1.0,45,536,1,1,1,1,260.0,418.0,40.0,20.0,3.0,3.0,3.0,1.0,15.0,8.0,1056.0,0.9179999999999999,2310.0,3
26,6,91,5,14.0,1.0,45,537,6,1,1,1,260.0,418.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,2310.0,3
26,6,91,5,14.0,1.0,47,434,1,1,0,0,0,418.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,2310.0,3
26,6,91,5,14.0,1.0,32,94,6,1,1,1,260.0,18167.0,42.0,10.0,3.0,2.0,3.0,1.0,8.0,2.0,1056.0,0.9179999999999999,0,3
27,6,90,5,83569.0,10000.0,32,12,1,1,0,0,0,18167.0,70.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,736.0,0.8092,3234.0,3
27,6,90,5,83569.0,10000.0,32,289,4,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,736.0,0.8092,3234.0,3
28,6,92,5,92.0,10.0,52,589,1,1,1,2,260.0,96.0,0,0,0,0,0,0,0,0,0,0,0,2
29,6,79,5,650576.0,100000.0,32,283,1,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,4284.0,0.0030800000000000003,3276.0,2
29,6,79,5,650576.0,100000.0,22,467,4,1,0,0,0,20668.0,0,0,0,0,0,0,0,0,4284.0,0.0030800000000000003,0,2
