ProdNbr_c,Commodity_c,FunctionDesignation_c,ProdName_c,ProdNetWeight_n,ProdNetWeightNbr_n,ManId_c,ManDesignation_c,MC_n,ManStatus_c,ROHSStatus_c,SolderingProcess_c,MaxSolderingTemp_n,ASGId_n,LeadTime_n,LeadTimewithForecast_n,SupplierManufacturingRisk_n,SupplierAggregatedRisk_n,CommercialAggregatedRisk_n,TechnicalAggregatedRisk_n,RecoveryTimeweeks_n,Rampuptimetofullproductionfromfirstdeliveryweeks_n,MRPVol_n,AvgPriceLatestYearUSD_n,Volume_n,target_c
87,6,380,6,507615.0,100000.0,32,61,4,1,1,1,260.0,18167.0,40.0,10.0,4.0,2.0,1.0,1.0,8.0,2.0,2389593.0,0.54485,971711.0,4
87,6,380,6,507615.0,100000.0,32,16,0,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,2389593.0,0.54485,971711.0,4
87,6,380,6,507615.0,100000.0,22,216,1,1,1,1,260.0,20668.0,35.0,10.0,4.0,1.0,1.0,1.0,6.0,3.0,2389593.0,0.54485,1036856.0,4
88,6,380,5,507615.0,100000.0,73,690,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,37181.0,0.45955,8.0,2
88,6,380,5,507615.0,100000.0,32,61,4,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,37181.0,0.45955,971711.0,2
88,6,380,5,507615.0,100000.0,32,16,0,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,37181.0,0.45955,971711.0,2
89,6,411,5,322458.0,100000.0,32,203,6,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
89,6,411,5,322458.0,100000.0,60,206,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
90,6,25,2,228.0,100.0,56,441,1,1,1,0,0,3129.0,0,0,2.0,2.0,0,1.0,9.0,2.0,0,0,0,4
90,6,25,2,228.0,100.0,7,379,1,1,1,0,0,9422.0,0,0,3.0,2.0,0,1.0,9.0,5.0,0,0,0,2
91,6,236,5,0,0,44,671,1,1,1,1,260.0,12820.0,50.0,40.0,1.0,2.0,2.0,2.0,4.0,2.0,2294.0,0.59,3000.0,4
91,6,236,5,0,0,44,667,4,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,2294.0,0.59,3000.0,4
92,6,51,5,144005.0,10000000.0,32,137,0,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
93,6,182,5,0,0,32,17,1,1,1,1,260.0,18167.0,0,0,3.0,2.0,2.0,2.0,8.0,2.0,0,0.21600000000000003,2100.0,4
94,6,251,5,26078966.0,10000000.0,32,18,1,1,1,1,260.0,18167.0,0,0,3.0,2.0,0,2.0,8.0,2.0,298.0,0,0,3
95,6,242,5,0,0,44,672,1,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,960.0,0.8365100000000001,0,3
95,6,242,5,0,0,22,545,1,1,1,2,245.0,20668.0,0,0,4.0,1.0,1.0,1.0,8.0,2.0,960.0,0.8365100000000001,1440.0,3
96,6,204,5,1740946.0,100000.0,4,515,1,1,1,1,260.0,96.0,40.0,10.0,4.0,2.0,2.0,2.0,8.0,3.0,0,2.23177,281728.0,4
96,6,204,5,1740946.0,100000.0,47,407,0,1,0,0,0,418.0,0,0,0,0,0,0,0,0,0,2.23177,0,4
97,6,181,5,22.0,10.0,36,381,4,1,1,0,260.0,9422.0,0,0,0,0,0,0,0,0,24.0,0.47978000000000004,1260.0,4
97,6,181,5,22.0,10.0,36,382,1,1,1,1,260.0,9422.0,40.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,0.47978000000000004,1260.0,4
98,6,273,5,56.0,10.0,44,681,1,1,1,0,0,12820.0,60.0,50.0,2.0,2.0,2.0,2.0,4.0,2.0,4378.0,1.6,3241.0,4
99,6,208,5,158.0,10.0,12,532,4,1,1,2,220.0,96.0,0,0,3.0,2.0,0,1.0,5.0,2.0,0,0,0,3
99,6,208,5,158.0,10.0,61,532,1,1,1,0,0,96.0,0,0,3.0,2.0,0,1.0,5.0,2.0,0,0,0,3
99,6,208,5,158.0,10.0,44,680,1,1,1,0,0,12820.0,0,0,2.0,2.0,0,1.0,4.0,2.0,0,0,0,3
100,6,173,5,977.0,1000.0,36,361,1,1,1,1,260.0,9422.0,38.0,19.0,3.0,2.0,2.0,2.0,6.0,6.0,1320.0,1.68966,1650.0,2
101,6,414,5,739.0,1000.0,73,689,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,46884.0,0.12247000000000001,0,3
101,6,414,5,739.0,1000.0,47,33,1,1,1,1,260.0,418.0,0,0,0,0,0,0,0,0,46884.0,0.12247000000000001,102153.0,3
101,6,414,5,739.0,1000.0,47,32,6,1,1,1,260.0,418.0,0,0,0,0,0,0,0,0,46884.0,0.12247000000000001,102153.0,3
101,6,414,5,739.0,1000.0,47,34,1,1,1,2,260.0,418.0,20.0,20.0,3.0,3.0,3.0,3.0,16.0,8.0,46884.0,0.12247000000000001,102153.0,3
102,6,249,5,141595.0,100000.0,32,266,1,1,1,2,260.0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
102,6,249,5,141595.0,100000.0,32,267,0,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
103,6,239,5,563.0,100.0,44,659,1,1,1,0,0,12820.0,80.0,70.0,2.0,2.0,2.0,2.0,4.0,2.0,12.0,4.141,1100.0,4
104,6,263,5,56.0,10.0,44,660,1,1,1,0,0,12820.0,80.0,70.0,2.0,2.0,2.0,2.0,4.0,2.0,24.0,12.799000000000001,352.0,4
105,6,238,5,0,0,23,540,1,1,1,1,260.0,301.0,0,0,0,0,0,0,0,0,0,0,0,4
106,6,411,5,385.0,100.0,21,295,1,1,1,2,260.0,418.0,0,0,4.0,4.0,0,4.0,26.0,26.0,0,0,0,3
107,6,200,5,5019.0,1000.0,15,413,1,1,1,1,260.0,9422.0,50.0,25.0,3.0,3.0,3.0,3.0,26.0,13.0,804.0,0.72551,1960.0,3
108,6,248,5,0,0,15,412,1,1,1,1,260.0,9422.0,66.0,33.0,3.0,4.0,0,4.0,26.0,13.0,0,0,0,4
109,6,244,5,353383.0,100000.0,61,648,0,1,0,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
109,6,244,5,353383.0,100000.0,32,52,4,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
109,6,244,5,353383.0,100000.0,31,52,4,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
109,6,244,5,353383.0,100000.0,32,53,1,1,0,0,0,18167.0,50.0,10.0,2.0,2.0,0,2.0,8.0,2.0,0,0,0,4
110,6,139,12,32822744.0,10000000.0,36,256,4,1,1,1,260.0,9422.0,0,0,0,0,0,0,0,0,0,0,0,2
110,6,139,12,32822744.0,10000000.0,36,255,1,1,1,0,0,9422.0,0,0,0,0,0,0,0,0,0,0,0,2
110,6,139,12,32822744.0,10000000.0,32,286,1,1,1,0,265.0,18167.0,40.0,10.0,3.0,2.0,0,1.0,8.0,2.0,0,0,0,2
111,6,138,12,288.0,100.0,36,257,1,1,1,1,250.0,9422.0,0,0,3.0,3.0,3.0,3.0,15.0,4.0,448.0,0.8755,750.0,2
111,6,138,12,288.0,100.0,36,258,4,1,1,1,260.0,9422.0,0,0,0,0,0,0,0,0,448.0,0.8755,750.0,2
111,6,138,12,288.0,100.0,32,10,4,1,1,1,260.0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,448.0,0.8755,0,2
111,6,138,12,288.0,100.0,32,11,4,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,448.0,0.8755,0,2
112,6,17,5,59.0,100.0,35,207,6,1,1,1,245.0,2296.0,0,0,0,0,0,0,0,0,4350.0,1.17735,10833.0,4
112,6,17,5,59.0,100.0,35,208,1,1,1,2,245.0,2296.0,30.0,20.0,4.0,1.0,1.0,1.0,4.0,4.0,4350.0,1.17735,10833.0,4
113,6,222,5,0,0,44,661,1,1,1,0,0,12820.0,80.0,70.0,2.0,2.0,2.0,2.0,4.0,2.0,12.0,17.722,352.0,4
114,6,424,5,89.0,100.0,73,722,1,1,1,1,260.0,96.0,40.0,10.0,4.0,2.0,2.0,1.0,8.0,3.0,31042.0,0.607,23925.0,1
114,6,424,5,89.0,100.0,36,331,1,1,1,2,260.0,9422.0,0,0,0,0,0,0,0,0,31042.0,0.607,0,1
114,6,424,5,89.0,100.0,72,373,1,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,31042.0,0.607,0,1
115,6,424,5,85387.0,100000.0,69,372,1,1,1,1,260.0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,1688.0,0.8496600000000001,4800.0,4
116,6,374,5,0,0,22,220,1,1,1,2,260.0,20668.0,0,0,4.0,1.0,0,1.0,8.0,4.0,0,0,0,2
117,6,199,5,0,0,36,411,1,1,1,1,260.0,9422.0,0,0,3.0,4.0,4.0,4.0,26.0,13.0,0,0,0,3
117,6,199,5,0,0,36,408,6,1,1,1,250.0,9422.0,0,0,0,0,0,0,0,0,0,0,0,3
118,6,142,5,5.0,1.0,19,290,0,1,1,1,260.0,70.0,0,0,0,0,0,0,0,0,0,0,0,4
119,6,223,5,547.0,100.0,44,670,1,1,1,1,260.0,12820.0,60.0,50.0,2.0,2.0,2.0,2.0,4.0,2.0,175.0,0.55,1920.0,4
119,6,223,5,547.0,100.0,44,665,1,1,1,3,220.0,12820.0,0,0,0,0,0,0,0,0,175.0,0.55,1920.0,4
120,6,183,5,461914.0,100000.0,39,676,1,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,960.0,1.01852,0,3
120,6,183,5,461914.0,100000.0,71,543,1,1,1,0,0,20668.0,35.0,15.0,4.0,1.0,1.0,1.0,8.0,2.0,960.0,1.01852,7200.0,3
121,6,236,5,646.0,100.0,44,666,1,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,139.0,0.59,1500.0,4
121,6,236,5,646.0,100.0,44,671,1,1,1,1,260.0,12820.0,50.0,40.0,2.0,2.0,2.0,2.0,4.0,2.0,139.0,0.59,1500.0,4
122,6,50,5,13411.0,1000.0,9,323,1,1,1,0,0,418.0,0,0,0,0,0,0,0,0,0,0,0,4
122,6,50,5,13411.0,1000.0,22,133,1,1,1,0,240.0,20668.0,0,0,0,0,0,0,0,0,0,0,0,4
123,6,187,5,5293.0,1000.0,73,616,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,2.0,1.0,8.0,3.0,0,0.63132,1000.0,3
123,6,187,5,5293.0,1000.0,29,237,1,1,1,1,265.0,18167.0,0,0,0,0,0,0,0,0,0,0.63132,0,3
124,6,179,5,55498362.0,1000000.0,73,641,1,1,1,2,245.0,96.0,40.0,10.0,4.0,2.0,0,2.0,8.0,3.0,0,0,0,4
125,6,188,5,5293.0,1000.0,16,615,1,1,1,1,260.0,96.0,40.0,10.0,4.0,2.0,1.0,1.0,8.0,3.0,437359.0,0.58602,180137.0,3
125,6,188,5,5293.0,1000.0,32,287,1,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,437359.0,0.58602,180404.0,3
125,6,188,5,5293.0,1000.0,32,288,1,1,1,1,260.0,18167.0,40.0,10.0,4.0,2.0,1.0,1.0,8.0,2.0,437359.0,0.58602,180404.0,3
126,6,256,5,20.0,1.0,66,2,1,1,1,1,260.0,12820.0,70.0,20.0,2.0,2.0,2.0,1.0,4.0,2.0,703.0,11.3173,821.0,4
127,6,258,5,20.0,1.0,66,5,1,1,1,1,260.0,12820.0,70.0,20.0,2.0,2.0,2.0,1.0,4.0,2.0,703.0,8.181000000000001,1421.0,4
128,6,320,5,67522.0,10000.0,32,272,1,1,1,0,265.0,18167.0,0,0,3.0,2.0,0,2.0,8.0,2.0,0,0,0,2
129,6,278,5,443456.0,10000.0,61,603,0,1,0,0,0,96.0,0,0,0,0,0,0,0,0,736.0,6.61521,0,4
129,6,278,5,443456.0,10000.0,32,113,1,1,1,0,0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,736.0,6.61521,3234.0,4
130,6,237,5,0,0,32,262,1,1,1,0,0,18167.0,0,0,3.0,2.0,0,2.0,8.0,2.0,0,0,0,3
131,6,224,5,0,0,73,631,1,1,1,1,260.0,96.0,0,0,4.0,2.0,2.0,2.0,8.0,3.0,10000.0,2.15481,5320.0,2
132,6,201,5,3118.0,1000.0,16,609,1,1,1,1,260.0,96.0,0,0,4.0,2.0,2.0,2.0,8.0,8.0,30000.0,0.69775,11824.0,2
132,6,201,5,3118.0,1000.0,73,609,6,1,1,1,260.0,96.0,0,0,4.0,2.0,2.0,2.0,8.0,8.0,30000.0,0.69775,11824.0,2
133,6,266,5,27606828.0,1000000.0,32,111,1,1,1,0,0,18167.0,0,0,3.0,2.0,0,2.0,8.0,2.0,0,0,0,3
134,6,255,5,18476.0,1000.0,73,635,1,1,1,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,3
134,6,255,5,18476.0,1000.0,73,638,6,1,1,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,3
134,6,255,5,18476.0,1000.0,32,308,0,1,0,0,0,18167.0,0,0,3.0,2.0,0,2.0,4.0,2.0,0,0,0,3
135,6,240,5,769486.0,100000.0,44,103,6,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,0,0,0,4
135,6,240,5,769486.0,100000.0,32,103,4,1,2,1,260.0,18167.0,0,0,3.0,2.0,0,2.0,4.0,2.0,0,0,0,4
136,6,219,5,3387632.0,1000000.0,73,592,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,2.0,2.0,8.0,3.0,692.0,0.7529899999999999,2000.0,4
137,6,281,5,733555016.0,10000000.0,32,105,1,1,1,0,0,18167.0,63.0,10.0,3.0,2.0,0,2.0,4.0,2.0,1704.0,0,0,3
138,6,196,5,51.0,10.0,61,621,1,1,1,1,260.0,96.0,30.0,10.0,4.0,2.0,1.0,1.0,8.0,8.0,128800.0,0.32232,39248.0,2
138,6,196,5,51.0,10.0,22,548,1,1,1,1,245.0,20668.0,0,0,0,0,0,0,0,0,128800.0,0.32232,39248.0,2
139,6,254,5,1178.0,100.0,61,623,0,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
139,6,254,5,1178.0,100.0,32,188,0,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
139,6,254,5,1178.0,100.0,22,551,0,1,1,1,260.0,20668.0,0,0,0,0,0,0,0,0,0,0,0,4
139,6,254,5,1178.0,100.0,22,547,0,1,0,0,0,20668.0,0,0,0,0,0,0,0,0,0,0,0,4
140,6,260,5,152.0,10.0,61,626,0,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
140,6,260,5,152.0,10.0,32,189,0,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
140,6,260,5,152.0,10.0,22,554,0,1,1,1,260.0,20668.0,0,0,0,0,0,0,0,0,0,0,0,4
141,6,235,5,5647434.0,1000000.0,36,605,0,1,0,0,0,9422.0,0,0,3.0,2.0,2.0,2.0,8.0,4.0,0,0,0,3
141,6,235,5,5647434.0,1000000.0,32,269,1,1,1,0,0,18167.0,0,0,3.0,2.0,2.0,2.0,4.0,2.0,0,0,0,3
142,6,274,5,444306912.0,10000000.0,32,114,1,1,1,0,0,18167.0,50.0,10.0,3.0,2.0,2.0,2.0,4.0,2.0,111.0,6.918660000000001,1125.0,3
143,6,207,5,18279.0,1000.0,61,633,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,2.0,2.0,8.0,8.0,396.0,4.326919999999999,3973.0,4
144,2,288,5,41553.0,1000.0,32,100,4,1,1,0,0,18167.0,40.0,10.0,3.0,2.0,0,0,4.0,2.0,0,0,0,4
144,2,288,5,41553.0,1000.0,79,100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
145,2,212,5,1293301863.0,10000000.0,32,14,1,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,111.0,0,0,3
145,2,212,5,1293301863.0,10000000.0,79,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,111.0,0,0,3
146,6,285,5,1850627.0,10000.0,32,112,1,1,1,0,0,18167.0,55.0,10.0,3.0,2.0,2.0,2.0,4.0,2.0,0,19.228620000000003,720.0,3
147,2,233,5,65389.0,10000.0,44,104,6,1,1,0,0,12820.0,0,0,0,0,0,0,0,0,0,0,0,4
147,2,233,5,65389.0,10000.0,32,104,4,1,1,0,0,18167.0,54.0,10.0,3.0,2.0,0,2.0,4.0,2.0,0,0,0,4
148,6,234,5,435.0,100.0,59,205,0,1,1,1,260.0,0,0,0,0,0,0,0,0,0,0,0,0,4
149,6,220,5,17378.0,1000.0,61,613,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,0,0,0,3
150,6,221,5,17378.0,1000.0,73,614,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
151,6,191,5,96.0,10.0,61,632,1,1,1,0,0,96.0,70.0,50.0,4.0,2.0,2.0,2.0,8.0,3.0,226.0,4.18825,3002.0,2
151,6,191,5,96.0,10.0,32,57,4,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,226.0,4.18825,0,2
151,6,191,5,96.0,10.0,79,57,1,1,1,1,260.0,0,0,0,0,0,0,0,0,0,226.0,4.18825,0,2
152,6,198,5,38269512.0,10000000.0,32,299,1,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,34926.0,0.39224000000000003,38474.0,4
153,6,143,5,3122.0,100.0,66,3,0,1,1,0,0,12820.0,0,0,0,0,0,0,0,0,0,0,0,4
154,6,197,5,506019.0,100000.0,47,44,0,1,1,1,260.0,418.0,0,0,4.0,4.0,4.0,4.0,26.0,6.0,11160.0,0,0,0
155,6,197,5,5001643.0,1000000.0,47,45,0,1,1,1,260.0,418.0,0,0,0,0,0,0,0,0,0,0,0,0
156,6,213,5,13060454.0,1000000.0,47,46,2,1,1,1,260.0,418.0,0,0,4.0,4.0,4.0,4.0,26.0,6.0,12300.0,2.4486,12000.0,0
157,6,213,5,13131331.0,1000000.0,47,47,0,1,1,1,260.0,418.0,0,0,0,0,0,0,0,0,0,0,0,0
158,6,271,5,216653972.0,10000000.0,32,306,1,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,5878.0,11.48,931.0,4
158,6,271,5,216653972.0,10000000.0,32,307,0,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,5878.0,11.48,931.0,4
159,6,215,5,4624002.0,1000000.0,73,612,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,5297.0,2.03075,500.0,4
159,6,215,5,4624002.0,1000000.0,36,685,0,1,0,0,0,9422.0,0,0,0,0,0,0,0,0,5297.0,2.03075,0,4
160,6,214,5,1455.0,100.0,73,611,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,10594.0,6.05015,500.0,4
161,6,217,5,5801.0,1000.0,44,664,0,1,1,0,0,12820.0,0,0,0,0,0,0,0,0,0,0,0,4
162,6,216,5,4936752.0,1000000.0,32,241,0,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,42217.0,2.8322,2000.0,4
163,6,193,5,3738.0,1000.0,73,621,0,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
164,6,218,5,0,0,73,610,0,1,0,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,0
165,6,158,5,136624.0,100000.0,32,120,0,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,2
165,6,158,5,136624.0,100000.0,32,163,0,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,2
166,6,322,5,0,0,32,151,1,1,1,0,0,18167.0,0,0,3.0,2.0,0,2.0,8.0,2.0,0,0,0,4
167,6,323,5,0,0,32,150,1,1,1,0,0,18167.0,0,0,3.0,2.0,0,2.0,8.0,4.0,0,0,0,3
168,6,321,5,7519944.0,1000000.0,32,180,1,1,1,0,0,18167.0,50.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,390.0,3.27745,2419.0,3
169,6,232,5,636.0,100.0,23,561,1,1,1,1,250.0,301.0,40.0,30.0,2.0,2.0,2.0,2.0,8.0,10.0,96.0,4.3,228.0,4
170,6,286,5,466.0,10.0,70,480,1,1,1,1,260.0,0,0,0,0,0,0,0,0,0,12.0,0,0,4
170,6,286,5,466.0,10.0,70,481,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,4
171,6,229,5,40285406.0,10000000.0,32,301,1,1,1,2,245.0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
172,6,189,5,61874.0,10000.0,73,618,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,1518394.0,0.45533,334798.0,4
172,6,189,5,61874.0,10000.0,44,741,1,1,1,1,260.0,12820.0,60.0,50.0,2.0,2.0,2.0,2.0,4.0,2.0,1518394.0,0.45533,91193.0,4
173,6,231,5,0,0,32,374,1,1,1,1,245.0,18167.0,40.0,10.0,3.0,2.0,0,2.0,8.0,2.0,0,0,0,4
174,6,228,5,0,0,73,619,0,1,0,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
175,6,253,5,1024.0,100.0,44,679,1,1,1,1,260.0,12820.0,60.0,50.0,2.0,2.0,2.0,2.0,4.0,2.0,0,0.7909999999999999,34669.0,4
175,6,253,5,1024.0,100.0,68,29,4,1,1,1,255.0,20550.0,0,0,0,0,0,0,0,0,0,0.7909999999999999,0,4
175,6,253,5,1024.0,100.0,65,29,1,4,1,1,255.0,0,0,0,0,0,0,0,0,0,0,0.7909999999999999,0,4
176,6,209,5,303990169.0,10000000.0,32,139,1,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,43476.0,1.86148,0,3
176,6,209,5,303990169.0,10000000.0,32,273,6,1,1,0,265.0,18167.0,0,0,0,0,0,0,0,0,43476.0,1.86148,0,3
176,6,209,5,303990169.0,10000000.0,22,557,1,1,1,0,265.0,20668.0,35.0,15.0,4.0,1.0,1.0,1.0,8.0,2.0,43476.0,1.86148,73445.0,3
177,6,270,5,64204.0,10000.0,44,739,4,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,960.0,0,0,4
178,6,252,5,6266.0,1000.0,36,229,1,1,1,1,260.0,9422.0,42.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1576.0,3.6098199999999996,3954.0,3
179,6,257,5,1.0,1.0,36,230,1,1,1,0,265.0,9422.0,42.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,4240.0,5.68153,2364.0,3
180,6,211,5,471.0,10.0,73,604,6,1,1,0,0,96.0,0,0,4.0,2.0,1.0,1.0,8.0,3.0,32008.0,1.9765099999999998,24950.0,3
180,6,211,5,471.0,10.0,22,558,1,1,1,2,260.0,20668.0,35.0,15.0,4.0,1.0,1.0,1.0,8.0,2.0,32008.0,1.9765099999999998,37425.0,3
181,6,272,5,1835.0,100.0,29,307,1,1,1,1,265.0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,0,2.9637,1080.0,4
182,6,279,5,3356.0,100.0,73,642,1,1,1,2,260.0,96.0,40.0,10.0,4.0,2.0,0,1.0,8.0,3.0,0,0,0,3
182,6,279,5,3356.0,100.0,44,740,1,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,0,0,0,3
182,6,279,5,3356.0,100.0,22,556,0,1,0,0,0,20668.0,0,0,0,0,0,0,0,0,0,0,0,3
183,6,210,5,3419.0,100.0,73,643,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,2.0,1.0,8.0,3.0,7487.0,2.36745,29172.0,3
183,6,210,5,3419.0,100.0,44,669,1,1,1,0,260.0,12820.0,60.0,50.0,2.0,2.0,2.0,1.0,4.0,2.0,7487.0,2.36745,0,3
184,6,280,5,3413818.0,100000.0,73,644,1,1,1,2,260.0,96.0,40.0,10.0,4.0,2.0,2.0,2.0,8.0,3.0,13852.0,2.6305,24015.0,4
184,6,280,5,3413818.0,100000.0,73,639,6,1,1,0,265.0,96.0,0,0,0,0,0,0,0,0,13852.0,2.6305,24015.0,4
185,6,226,5,511.0,100.0,7,226,1,1,1,2,260.0,9422.0,0,0,3.0,2.0,0,2.0,8.0,2.0,0,0,0,2
186,6,291,5,8088.0,100.0,36,228,1,1,1,2,260.0,9422.0,0,0,3.0,2.0,0,2.0,8.0,2.0,0,0,0,2
187,6,292,5,56.0,10.0,44,4,1,1,1,1,260.0,12820.0,80.0,70.0,2.0,2.0,0,2.0,4.0,2.0,0,0,0,4
188,6,225,5,8167416.0,1000000.0,44,682,1,1,1,1,260.0,12820.0,60.0,50.0,2.0,2.0,1.0,1.0,4.0,2.0,32008.0,0.37719,12475.0,4
188,6,225,5,8167416.0,1000000.0,22,546,1,1,1,1,260.0,20668.0,0,0,0,0,0,0,0,0,32008.0,0.37719,49900.0,4
189,6,184,5,503.0,100.0,44,677,1,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,32968.0,1.06171,0,2
189,6,184,5,503.0,100.0,22,544,1,1,1,1,245.0,20668.0,35.0,15.0,4.0,1.0,1.0,1.0,8.0,2.0,32968.0,1.06171,206989.0,2
189,6,184,5,503.0,100.0,22,543,6,1,1,0,0,20668.0,0,0,0,0,0,0,0,0,32968.0,1.06171,206989.0,2
190,6,247,5,77224.0,10000.0,63,110,1,1,1,0,0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,6120.0,1.16323,6216.0,2
191,6,190,5,47896.0,10000.0,67,136,1,1,1,1,245.0,18167.0,40.0,10.0,3.0,2.0,1.0,1.0,8.0,2.0,471486.0,0.34869,164084.0,3
191,6,190,5,47896.0,10000.0,22,550,1,1,1,1,245.0,20668.0,35.0,15.0,4.0,1.0,1.0,1.0,8.0,2.0,471486.0,0.34869,384102.0,3
192,2,268,5,0,0,44,102,1,1,1,0,0,12820.0,0,0,0,0,0,0,0,0,130.0,0,0,4
192,2,268,5,0,0,32,102,4,1,1,2,265.0,18167.0,40.0,10.0,4.0,2.0,0,2.0,8.0,4.0,130.0,0,0,4
193,6,176,5,63156.0,10000.0,32,742,1,1,1,0,265.0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
193,6,176,5,63156.0,10000.0,32,116,4,1,1,0,265.0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
194,6,192,5,0,0,16,649,1,1,1,0,0,96.0,35.0,10.0,4.0,2.0,2.0,1.0,8.0,3.0,6618.0,0.53662,3774.0,3
194,6,192,5,0,0,32,53,1,1,1,0,265.0,18167.0,0,0,0,0,0,0,0,0,6618.0,0.53662,0,3
195,6,185,5,5701.0,1000.0,73,617,1,1,1,2,260.0,96.0,35.0,10.0,4.0,2.0,2.0,1.0,8.0,3.0,100586.0,0.61566,110121.0,2
195,6,185,5,5701.0,1000.0,44,673,1,1,0,0,0,12820.0,0,0,0,0,0,0,0,0,100586.0,0.61566,0,2
195,6,185,5,5701.0,1000.0,44,674,1,1,0,0,0,12820.0,0,0,0,0,0,0,0,0,100586.0,0.61566,0,2
196,6,194,5,51.0,10.0,73,621,1,1,1,1,260.0,96.0,35.0,10.0,4.0,2.0,1.0,1.0,8.0,3.0,758677.0,0.31758000000000003,294977.0,2
196,6,194,5,51.0,10.0,73,620,6,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,758677.0,0.31758000000000003,294977.0,2
196,6,194,5,51.0,10.0,32,20,6,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,758677.0,0.31758000000000003,0,2
196,6,194,5,51.0,10.0,32,192,0,1,0,0,0,18167.0,0,0,0,0,0,0,0,0,758677.0,0.31758000000000003,0,2
